0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NAME,DP03_0018E,DP03_0018PE,DP03_0019E,DP03_0019PE,DP03_0020E,DP03_0020PE,DP03_0021E,DP03_0021PE,DP03_0022E,DP03_0022PE,DP03_0023E,DP03_0023PE,DP03_0024E,DP03_0024PE,DP03_0025E,DP03_0025PE,state,county
"Sierra County, California",1334,1334,1043,78.2,46,3.4,4,0.3,0,0.0,0,0.0,241,18.1,28.2,-888888888,06,091
"Siskiyou County, California",16021,16021,12045,75.2,1443,9.0,41,0.3,783,4.9,225,1.4,1484,9.3,19.2,-888888888,06,093
"Solano County, California",210032,210032,157169,74.8,25126,12.0,5493,2.6,2409,1.1,2900,1.4,16935,8.1,33.2,-888888888,06,095
"Sonoma County, California",245200,245200,178575,72.8,24407,10.0,3646,1.5,5652,2.3,5162,2.1,27758,11.3,25.8,-888888888,06,097
"Stanislaus County, California",227453,227453,182088,80.1,23500,10.3,1597,0.7,2528,1.1,3230,1.4,14510,6.4,31.0,-888888888,06,099
"Sutter County, California",41164,41164,31997,77.7,5015,12.2,345,0.8,504,1.2,565,1.4,2738,6.7,28.0,-888888888,06,101
"Tehama County, California",25121,25121,20593,82.0,2298,9.1,63,0.3,408,1.6,186,0.7,1573,6.3,22.9,-888888888,06,103
"Trinity County, California",5379,5379,2897,53.9,671,12.5,46,0.9,65,1.2,200,3.7,1500,27.9,26.4,-888888888,06,105
"Tulare County, California",181690,181690,142930,78.7,24399,13.4,871,0.5,2609,1.4,1991,1.1,8890,4.9,22.5,-888888888,06,107
"Tuolumne County, California",20686,20686,16142,78.0,1665,8.0,88,0.4,621,3.0,274,1.3,1896,9.2,29.3,-888888888,06,109
"Ventura County, California",402256,402256,306123,76.1,38410,9.5,3379,0.8,6431,1.6,4845,1.2,43068,10.7,26.8,-888888888,06,111
"Yolo County, California",99145,99145,65426,66.0,8413,8.5,3576,3.6,2140,2.2,7194,7.3,12396,12.5,24.0,-888888888,06,113
"Yuba County, California",32181,32181,25805,80.2,3497,10.9,201,0.6,523,1.6,401,1.2,1754,5.5,29.5,-888888888,06,115
