0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NAME,DP05_0033E,DP05_0033PE,DP05_0036E,DP05_0036PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0044E,DP05_0044PE,DP05_0052E,DP05_0052PE,DP05_0057E,DP05_0057PE,DP05_0058E,DP05_0058PE,state,county
"Santa Clara County, California",1932022,1932022,1745912,90.4,754027,39.0,47518,2.5,11897,0.6,736650,38.1,6603,0.3,189217,9.8,186110,9.6,06,085
"Santa Cruz County, California",272138,272138,246012,90.4,186503,68.5,3071,1.1,1843,0.7,13448,4.9,564,0.2,40583,14.9,26126,9.6,06,087
"Shasta County, California",181935,181935,168731,92.7,151465,83.3,2059,1.1,4275,2.3,6024,3.3,250,0.1,4658,2.6,13204,7.3,06,089
"Sierra County, California",3079,3079,3067,99.6,2776,90.2,2,0.1,58,1.9,0,0.0,0,0.0,231,7.5,12,0.4,06,091
"Siskiyou County, California",44151,44151,40200,91.1,36110,81.8,763,1.7,1488,3.4,650,1.5,171,0.4,1018,2.3,3951,8.9,06,093
"Solano County, California",451432,451432,402074,89.1,218893,48.5,60555,13.4,3045,0.7,70537,15.6,4181,0.9,44863,9.9,49358,10.9,06,095
"Sonoma County, California",492498,492498,447697,90.9,346482,70.4,7737,1.6,5272,1.1,21613,4.4,1640,0.3,64953,13.2,44801,9.1,06,097
"Stanislaus County, California",550842,550842,477270,86.6,356790,64.8,16361,3.0,6215,1.1,31925,5.8,3233,0.6,62746,11.4,73572,13.4,06,099
"Sutter County, California",99080,99080,86059,86.9,57951,58.5,1878,1.9,1358,1.4,16230,16.4,565,0.6,8077,8.2,13021,13.1,06,101
"Tehama County, California",65345,65345,59763,91.5,52668,80.6,592,0.9,868,1.3,1166,1.8,61,0.1,4408,6.7,5582,8.5,06,103
"Trinity County, California",15818,15818,15132,95.7,13034,82.4,88,0.6,508,3.2,339,2.1,29,0.2,1134,7.2,686,4.3,06,105
"Tulare County, California",470999,470999,406392,86.3,279500,59.3,7835,1.7,5675,1.2,17195,3.7,745,0.2,95442,20.3,64607,13.7,06,107
"Tuolumne County, California",55243,55243,51703,93.6,47151,85.4,943,1.7,793,1.4,793,1.4,133,0.2,1890,3.4,3540,6.4,06,109
"Ventura County, California",845255,845255,739445,87.5,592773,70.1,15486,1.8,9584,1.1,61322,7.3,1677,0.2,58603,6.9,105810,12.5,06,111
"Yolo County, California",216703,216703,191021,88.1,137091,63.3,5684,2.6,1506,0.7,31433,14.5,1009,0.5,14298,6.6,25682,11.9,06,113
"Yuba County, California",80404,80404,70777,88.0,55657,69.2,2881,3.6,1170,1.5,5776,7.2,332,0.4,4961,6.2,9627,12.0,06,115
